Product,EOL Announced,End of Support
"CTP1002-P, CTP1002-T1E1, CTP1002-4WTO, CTP1004-P, CTP1004-P-DC, CTP1004-T1E1, CTP1004-T1E1-DC, CTP1004-4WTO, CTP1004-4WTO-DC, CTP1012-P, CTP1012-T1E1, CTP1012-4WTO, CTP2000-IM-8P-IRIG, CTP2000-IM-8P-V",09/30/2010,03/31/2016
"J-DDOS-SEC-AP1, J-DDOS-SEC-AP2, J-DDOS-SEC-AP4",06/01/2015,07/10/2015
"DX-3280-SLB-SSL-S-2C, DX-3680-SLB-SSL-S-2G2F, DX-3680-SLB-SSL-S-4G, DX-3600-SLB-SSL-N-4G-A, DX-3200-SLB-SSL-N-2C-A, DX-3600-SLB-SSL-N-2G2F-A",01/24/2008,07/24/2013
"DX-3200-N-2C, DX-3250-S-2C, DX-3600-N-2G2F, DX-3600-N-4G, DX-3650-S-4G, DX-3650-S-2G2F, DX-3650-SLB-SSL-S-2G2F, DX-3650-SLB-SSL-S-4G, DX-3250-SLB-SSL-2C, DX-3600-SLB-SSL-N-4G, DX-3200-SLB-SSL-N-2C, DX-3600-SLB-SSL-N-2G2F",03/15/2007,09/15/2012
DX-3670,04/01/2006,07/01/2011
DX-3650-F-2G,06/30/2006,06/30/2011
"SW-UP-SA64, SW-UP-SA96",06/15/2021,06/15/2021
"ERX-IPSEC100-LTU, ERX-JE1230-SFW, ERX-JE1330-SFW, ERX-JE1420-SFW, SW-UP-SA16, SW-UP-SA32, SW-UP-SA48, SW-UP-SA8",04/30/2019,05/01/2021
"ES2-BSLM12-SYS, ES2-BSLM6-SYS, ES2-100G-SFM, ES2-100G-SRP, ES2-10GACS3-MOD, ES2-10GACS4-MOD, ES2-10GES2-IOA, ES2-10GUPS2-MOD, ES2-120FTRAY-FRU, ES2-120G-SFM, ES2-120G-SRP, ES2-2OC12AS1-IOA, ES2-320G-SFM, ES2-320G-SRP, ES2-4GS1-MOD, ES2-8OC3AS1-IOA, ES2-CH120-FRU, ES2-CHE320-FRU, ES2-DCPDU-FRU, ES2-FANTRAY-FRU, ES2-GE4S1-IOA, ES2-GE8S1-IOA, ES2-REDUNDS1-IOA, ES2-SERVS1-IOA, ES2-SRP-IOA, RX-10KM-SFP, RX-550M-SFP, RX-70KM-SFP, RX-GET-SFP",11/01/2015,12/31/2022
"ERX-BFD-LTU, ERX-EM-LTU, ERX-FW-UPFW1000-LTU, ERX-FW-UPFW250-LTU, ERX-FW-UPFW500-LTU, ERX-FW-VR10-LTU, ERX-FW-VR1000-LTU, ERX-FW-VR250-LTU, ERX-FW-VR500-LTU, ERX-GRE-TUN4-LTU, ERX-GRESDX-LTU, ERX-IM-LTU, ERX-IPSEC-TUN1-LTU, ERX-IPSEC-TUN16-LTU, ERX-IPSEC-TUN2-LTU, ERX-IPSEC-TUN20-LTU, ERX-IPSEC-TUN4-LTU, ERX-IPSEC-TUN8-LTU, ERX-IPSEC-UPTUN16-LTU, ERX-IPSEC-UPTUN2-LTU, ERX-IPSEC-UPTUN20-LTU, ERX-IPSEC-UPTUN4-LTU, ERX-IPSEC-UPTUN8-LTU, ERX-IPV6-LTU, ERX-ISSU-LTU, ERX-JUNOSECR-LTU, ERX-JUNOSEES-LTU, ERX-JUNOSESA-LTU, ERX-L2C-LTU, ERX-NAT-LTU, ERX-RID-LTU, ERX-SA2-SFW, ERX-SM-LTU, ERX-SP-BFD-LTU, ERX-SP-EM-LTU, ERX-SP-IPV6-LTU, ERX-SP-L2C-LTU, ERX-SP-NAT-LTU, ERX-SP-RID-LTU, ERX-SP-SM-LTU, ERX-SRA-SES2-LTU, ERX-SRA-SES4-LTU, ERX-SRA-SES8-LTU, ERX-SRA-UPSES4-LTU, ERX-SRA-UPSES8-LTU, ES2-320RUPG2-BDL, ES2-320UPG2-BDL, ES2-AIRFILT-FRU, ES2-CPFLSH1G-FRU, ES2-E120-EARS19-FRU, ES2-E120-EARS23-FRU, ES2-EARS19-FRU, ES2-FERRITE, ES2-FIOABLK-PNL, ES2-FLSH1GB-FRU, ES2-GE20S3-IOA, ES2-HIOABLK-PNL, ES2-IOABRKT-FRU, ES2-LMBLK-PNL, ES2-SFMBLK-PNL, ES2-SRPBLK-PNL, RX-FXSM-SFP, SW-SA16, SW-SA32, SW-SA4, SW-SA48, SW-SA64, SW-SA8, SW-SA96",11/01/2015,05/01/2021
"E14-ACS-FRU, E14-CBACSSRP-FRU, E14-SRPACS-IOA, ES2-SHLFTOOL-FRU, RX-FXMM-SFP, ERX-MIP-HA-LTU",03/31/2014,09/30/2014
"ACC-EARS-19-1400, ACC-EARS-23-1400, ACC-EARS-23-700, ERX-2GE-IOA, ERX-8GEHDE-IOA, ERX-FAN14-FRU, ERX-GEFE256M-UPG, ERX-GE-MOD, ERX-HDE-MOD, ERX-O3O12A-MOD, ERX-OCXA256M-MOD, ERX-OCXA256M-UPG, ERX-PDU-40-FRU, ERX-SERVICE-MOD, FAN-7, FILTER-14, OC3/OC12-POS, OC3-4MM_I/O, OC3-4SM_I/O, PANEL-I/O, PANEL-LM, PANEL-SRP, PDU, PLENUM-1, RX-SCLCMM50-ACC, RX-SCLCMM62-ACC, SRP_I/O",01/30/2014,01/31/2020
"EX3-1G-MEM-UPG, PNL-RDMD-OCX, REDMID-OC/2/1, REDMID-OC/5/1, BALUM-B, ERX-12T3-CBL-ACC, ERX-19EAR700-ACC, ERX-1GSRP40-UPG, ERX-F1G10G-FRU, ERX-F1G40G-FRU, ERX-F1GE310-FRU, ERX-F512M10G-FRU, ERX-F512M40G-FRU, EX3-AC10AAU-CBL, EX3-AC10AEU-CBL, EX3-AC10AIT-CBL, EX3-AC10AJP-CBL, EX3-AC10AUK-CBL, EX3-AC10AUS-CBL, EX3-ACPSBLNK-PNL, EX3-DCPSDIST-PNL, EX3-FANTRAY-FRU, EX7-CBMGTBKT-FRU, MEM-512",01/31/2013,01/31/2019
"BASE-1440, BASE-1440-SYS, ERX-40G2GEC2-SRP",01/31/2013,01/31/2019
"ES2-2OC12PS1-IOA, ES2-OC48PS1-IOA",01/31/2013,01/31/2019
"ERX-4T3ATM-IOA, ERX-O3O12P-MOD, ERX-OC12MM-A-IOA, ERX-OC12SM-A-IOA, ERX-OC3M-APS-IOA, ERX-OC3S-APS-IOA, OC12-LH-I/O, OC12-MM_I/O, OC12-SM_I/O, OC3-4LH-I/O, ERX-2OC3GE-IOA, ERX-8FXSFP-IOA, ERX-OCXGE-MOD, FE-8_I/O, ERX-IPSECURE-MOD, ERX-IPSERV-MOD",01/31/2013,01/31/2019
"EX3-310AC1G-SYS, EX3-310DC1G-SYS, EX3-1GSRP-MOD, EX3-SRP-IOA, BASE-14, BASE-14-SYS, BASE-7, BASE-7-SYS, ERX-10G2GECC-SRP, ERX-GIGESFP-IOA, ERX-GEFE-MOD, ERX-GEFE256M-MOD, EX3-ACPSDIST-PNL, EX3-ACPWR-FRU, EX3-CH310-FRU",04/06/2011,01/31/2017
"ERX-OC48ST16-MOD, ERX-OC48ST16-IOA",01/12/2010,06/30/2015
"COC12F0-MM-I/O, COC12F0-SM-I/O, COC3F0-MM-I/O, COC3F0-SM-I/O, COCX/STMX-F0, CT3-12-F0, ERX-COC12-LH-IOA, ERX-12PT3E3-PNL, ERX-UT3E3OCX-MOD, E3-12-F3-I/O, ERX-COCXPNL-IOA, T312-F0-F3-I/O, ERX-IPSEC-MOD, ERX-5G2GECC-SRP, ERX-2400-PWR, ERX-RECT-PWR, PW-1110, PW-1220, PW-3001, ERX-12T3-2-1-RMD, ERX-COCX-2-1-RMD, ERX-COCX-5-1-RMD",01/31/2009,01/31/2015
ES2-10GES1-IOA,01/31/2009,01/31/2015
"HSSI-3F, HSSI-3-I/O",09/30/2005,03/30/2011
"CT1-FULL, CT1-FULL-I/O, REDMID-T1/E1/2/1, REDMID-T1/E1/3/1, REDMID-T1/E1/4/1, REDMID-T1/E1/5/1, PNL-RDMD-T/E1",09/30/2005,03/30/2011
"E3-3A, E3-3_I/O, REDMID-T3/E3/2/1, REDMID-T3/E3/3/1, REDMID-T3/E3/4/1, REDMID-T3/E3/5/1, PNL-RDMD-T3/E3",09/30/2005,03/30/2011
ERX-10G1GECC-SRP,09/30/2005,03/30/2011
"ERX-X21-V35-MOD, ERX-X21-V35-IOA",09/30/2005,03/30/2011
"EX3-SRP-MOD, EX3-BS310AC-SYS, EX3-BS310DC-SYS (512MB ERX 310)",08/31/2004,02/28/2010
TUNNEL-SERVICE,05/31/2004,12/31/2009
SRP-10-ECC,05/31/2004,12/31/2009
ERX-5ECC-SRP,05/31/2004,12/31/2009
"CE1-FULL, CE1-FULL-I/O, CE1-FULL-I/OT",05/31/2004,12/31/2009
FAN-14,08/29/2003,02/27/2009
ERX-40EC2-SRP,08/29/2003,02/27/2009
"FLASH-220M, RX-FLASH 512-FRU",08/29/2003,02/27/2009
OC3/OC12-ATM,06/30/2003,12/31/2008
GE/FE-8,06/30/2003,12/31/2008
"CT3-3, T3-3F, T3-3A, E3-3F, CT3/T3-3_I/O, 10/100_FE-2, 10/100_FE-2_I/O",04/04/2003,10/03/2008
ERX 5Gb SRP,08/30/2002,08/30/2007
ERX 2 Port OC-3 Line Module &amp; IOAs,05/30/2002,04/30/2007
ERX Gigabit Ethernet I/O Adapters with Fixed Transceivers,08/30/2002,11/30/2007
SRP-40-ECC,07/01/2002,07/01/2007
ERX Gigabit Ethernet I/O Adapters with Fixed Tranceivers,07/01/2002,07/01/2007
"QSFP-100G-CWDM-200, QSFP-100G-CWDM-50, QSFP-100G-CWDM-500, QSFP-100G-CWDM-1000, QSFP-100G-LR4-200, QSFP-100G-LR4-50, QSFP-100G-LR4-1000, QSFP-100G-SR4-200, nQSFP-100G-SR4-50, QSFP-100G-SR4-1000, QSFP-100G-SR4-500, QSFPP-40GE-SR4-B, QSFPP-40GLR4-X4-B, SFPP-10GE-LR-B, SFPP-10GE-SR-B",06/24/2022,N/A
"B-EX4300-24P-3S-E, B-EX4300-24P-EDU, B-EX4300-24T-3S-E, B-EX4300-24T-EDU, B-EX4300-48P-3S-E, B-EX4300-48P-EDU, B-EX4300-48T-3S-E, B-EX4300-48T-EDU, B-EX4300-48TA-3S-E, B-EX4300-48TA-EDU, B-EX4300-48TD-EDU, B-EX430024P-3M2-E, B-EX430024P-5M2-E, B-EX430024T-3M2-E, B-EX430024T-5M2-E, B-EX430048P-3M2-E, B-EX430048P-5M2-E, B-EX430048T-3M2-E, B-EX430048T-5M2-E, B-EX430048TA-3M2-E, B-EX430048TA-5M2-E, EX-UM-4X4SFP, EX4300-24P, EX4300-24P-S, EX4300-24P-TAA, EX4300-24T, EX4300-24T-S, EX4300-24T-TAA, EX4300-48P, EX4300-48P-S, EX4300-48P-TAA, EX4300-48T, EX4300-48T-AFI, EX4300-48T-AFI-TAA, EX4300-48T-DC, EX4300-48T-DC-AFI, EX4300-48T-DC-TAA, EX4300-48T-DC-TEL, EX4300-48T-DCI-TAA, EX4300-48T-S, EX4300-48T-TAA, JPSU-715-AC-AFO, EX4300-48T-DC-TEL",06/24/2022,03/31/2029
"EX-XFP-10GE80KDWDM, QFX-SFP-8GFC-SW, QSFP-100G-CWDM1000, QSFP-100G-CWDM4-ET, QSFP-100G-LR4-D, QSFP-100G-LR4-ET, SFP-GE40KM, SFP-OC12-IR, SFP-OC12-LR, SFP-OC12-LR2, SFP-OC12-SR, SFP-OC3-IR, SFP-OC3-LR, SFP-OC3-SR, SFPP-10G-ER-OTN, SFPP-10G-LR-OTN, XFP-10GE-ER",11/30/2021,12/31/2024
"EX-12-EFL, EX-24-EFL, EX-24-AFL, EX-48-EFL, EX-48-AFL, EX4300-24-EFL, EX4300-24-AFL, EX4300-32F-AFL, EX4300-48-EFL, EX4300-48-AFL, EX-QFX-MACSEC-ACC",10/31/2021,N/A
"EX9251-8X4C, EX9251-8X4C-DC, EX9251-8X4C-DC-T, EX9251-8X4C-T, EX9251-AFL, EX9251-ML, EX9253-6Q12C, EX9253-6Q12C-M, EX9253-AC-BND1, EX9253-AFL, EX9253-BASE-AC, EX9253-BASE-AC-T, EX9253-BASE-DC, EX9253-CHAS-3RU, EX9253-FDR, EX9253-ML, EX9253-RE, EX9253-RED-AC, EX9253-RED-AC-T, EX9253-RED-DC, EX9253-SFL, EX9200-2C-8XS, EX9200-32XS, EX9200-40F, EX9200-40F-M, EX9200-40T, EX9200-6QS, EX9200-RE, EX9204-AC-BND1, EX9204-BASE3A-AC, EX9204-BASE3A-AC-T, EX9204-RED3A-AC-T, EX9204-REDUND3A-AC, EX9204-REDUND3A-DC, EX9208-BASE3A-AC, EX9208-BASE3A-AC-T, EX9208-RED3A-AC-T, EX9208-REDUND3A-AC, EX9208-REDUND3A-DC, EX9214-BASE3A-AC, EX9214-BASE3A-AC-T, EX9214-RED3A-AC-T, EX9214-REDUND3A-AC, EX9214-REDUND3A-DC, EX9204-AC-BND2, EX9251-CHAS",10/15/2021,03/31/2027
5 YR Sky-Enterprise SKU and EX Bundle with Sky-Enterprise SKU,07/15/2021,08/31/2026
"EX2200-24P-4G, EX2200-24P-4G-TAA, EX2200-24T-4G, EX2200-24T-4G-DC, EX2200-24T-4G-TAA, EX2200-48P-4G, EX2200-48P-4G-TAA, EX2200-48T-4G, EX2200-48T-4G-TAA, EX2200-BOX-10, EX2200-C-12P-2G, EX2200-C-12P2G-TAA, EX2200-C-12T-2G, EX3300-24P, EX3300-24P-TAA, EX3300-24T, EX3300-24T-DC, EX3300-24T-DC-TAA, EX3300-24T-TAA, EX3300-48P, EX3300-48P-TAA, EX3300-48T, EX3300-48T-BF, EX3300-48T-BF-TAA, EX3300-48T-TAA, EX-RPS-CBL, EX-RPS-PWR, EX-RPS-PWR-930-AC, EX-RPS-PWR-BLNK, EX4200-24F, EX4200-24F-AFL, EX4200-24F-DC, EX4200-24F-DC-TAA, EX4200-24F-S, EX4200-24F-TAA, EX4200-24PX, EX4200-24PX-AFL, EX4200-24PX-TAA, EX4200-24T, EX4200-24T-AFL, EX4200-24T-DC, EX4200-24T-TAA, EX4200-48PX, EX4200-48PX-AFL, EX4200-48PX-TAA, EX4200-48T, EX4200-48T-AFL, EX4200-48T-DC, EX4200-48T-S, EX4200-48T-TAA, EX4200-BOX-10, EX4200-FANTRAY, EX4200-PWR-BLNK, EX-PWR-190-DC, EX-PWR-320-AC, EX-PWR3-930-AC, EX-UM-2X4SFP, EX-UM-2X4SFP-M, EX-UM-2XFP, EX-UM-4SFP, EX-CBL-VCP-1M, EX-CBL-VCP-3M, EX-CBL-VCP-50CM, EX-CBL-VCP-5M, EX-CBL-VCP-LK, EX-XFP-10GE-ER, EX-XFP-10GE-LR, EX-XFP-10GE-SR, EX-XFP-10GE-ZR, EX4500-4PST-RMK, EX4550-AFL, EX4550-32F-AFI, EX4550-32F-AFO, EX4550-32F-DC-AFI, EX4550-32F-DC-AFO, EX4550-32F-S, EX4550-32T-AFI, EX4550-32T-AFO, EX4550-32T-DC-AFI, EX4550-32T-DC-AFO, EX4550-EM-2QSFP, EX4550-EM-8XSFP, EX4550-EM-8XT, EX4550F-AFI-TAA, EX4550F-AFO-TAA, EX4550-FANMODULE-AFI, EX4550-FANMODULE-AFO, EX4550F-DC-AFI-TAA, EX4550F-DC-AFO-TAA, EX4550T-AFI-TAA, EX4550T-AFO-TAA, EX4550T-DC-AFI-TAA, EX4550T-DC-AFO-TAA, EX4550-VC1-128G",02/01/2019,06/30/2024
"EX-SFP-1FE-FX-ET, EX-SFP-1FE-LH",09/19/2018,09/19/2023
"EX9200-SF, EX9204-BASE-AC, EX9204-BASE-AC-T, EX9204-RED-AC-T, EX9204-REDUND-AC, EX9204-REDUND-DC, EX9208-BASE-AC, EX9208-BASE-AC-T, EX9208-RED-AC-T, EX9208-REDUND-AC, EX9208-REDUND-DC, EX9214-BASE3-AC, EX9214-BASE3-AC-T, EX9214-RED3-AC-T, EX9214-REDUND3-AC, EX9214-REDUND3-DC",07/31/2018,Refer to TSB17394
"EX-XRE200-AC, EX-XRE200-AFL, EX-XRE200-DC, EX-XRE200-FANTRAY, EX-XRE200-HDD160G, EX-XRE200-RMK-4POST, EX6200-AFL, EX8208-AFL, EX8208-BASE-AC-AFL, EX8208-BASE-AC3-AFL, EX8208-REDUND-AC-AFL, EX8208-SRE320, EX8216-AFL, EX8216-BASE-AC-AFL, EX8216-RE320, EX8216-REDUND-AC-AFL, EX8216-REDUND-AC2-AFL",05/05/2017,12/31/2022
"EX-XRE200-1GE-4T, EX-XRE200-PWR-250-AC, EX-XRE200-PWR-560-DC, EX8200-48F, EX8200-48F-ES, EX8200-48F-TAA, EX8200-48T, EX8200-48T-ES, EX8200-48T-TAA, EX8200-8XS, EX8200-8XS-ES, EX8200-8XS-TAA, EX8200-LC-BLANK, EX8200-PWR-AC2K, EX8200-PWR-BLANK, EX8200-PWR-DC2KR, EX8200-PWR-DC3KR, EX8200-RE-BLANK, EX8208-BASE-AC, EX8208-BASE-AC-TAA, EX8208-BASE-AC3, EX8208-CHAS-S, EX8208-FAN-S, EX8208-PKG-S, EX8208-REDUND-AC, EX8208-REDUND-AC-TAA, EX8208-REDUND-DC, EX8208-SF320-S, EX8216-BASE-AC, EX8216-BASE-AC-TAA, EX8216-CHAS-S, EX8216-FAN-S, EX8216-PKG-S, EX8216-REDUND-AC, EX8216-REDUND-AC-TAA, EX8216-REDUND-AC2, EX8216-REDUND-DC, EX8216-SF320-S",07/01/2016,12/31/2022
"EX-XRE200-1GE-4F, EX8200-PWR-AC3K, RE-USB-1G-S, RE-USB-2G-S",07/01/2016,01/01/2022
"EX8200-2XS-40P, EX8200-2XS-40T, EX8200-40XS, EX8200-40XS-ES, EX8200-48PL, EX8200-48TL, EX8200-2XS-40P-TAA, EX8200-2XS-40T-TAA, EX8200-40XS-TAA, EX8200-48PL-TAA, EX8200-48TL-TAA",03/18/2016,12/31/2022
"EX4500-40F-VC1-BF, EX4500-40F-VC1-BF-TAA, EX4500-40F-VC1-FB, EX4500-FANTRAY-FB, EX4500-PWR1-AC-FB, EX4500-UM-4XSFP, EX4500-UM-BLNK, EX4500-VC1-128G, EX6200-48P, EX6200-48T, EX6200-PWR-AC2500, EX6200-PWR-DC2100, EX6200-SRE64-4XS, EX6210-CHAS",11/01/2015,12/31/2022
"EX4500-40F-VC1-FB-TAA, EX4500-FANTRAY-BF, EX4500-PWR-BLNK, EX4500-PWR1-AC-BF, EX4500-RMK-DPX, EX6200-48F, EX6200-BLNK-LC, EX6200-BLNK-PWR-1U, EX6200-BLNK-PWR-2U, EX6200-BLNK-PWR-3U, EX6200-BLNK-SRE-LC, EX6200-SUPPORT-BRKT, EX6210-FAN, EX6210-FLTR, EX6210-PKG, EX6210-S64-96P-A25, EX6210-S64-96P-A50, EX6210-S64-96T-A25, EX6210-S64-96T-D21, EX9200-4QS",11/01/2015,05/01/2021
"EX4500-40F-VC1-DC, EX4500-PWR1-DC",11/01/2015,05/22/2020
EX6200-PWR-AC5000,11/01/2015,03/31/2020
"EX3200-24P, EX3200-24P-TAA, EX3200-24T, EX3200-24T-DC, EX3200-24T-TAA, EX3200-48P, EX3200-48P-TAA, EX3200-48T, EX3200-48T-DC, EX3200-48T-TAA, EX3200-FANTRAY",03/01/2014,08/31/2019
EX-PWR-600-AC,09/30/2013,09/30/2018
"EX4500-40F-BF-C, EX4500-40F-DC-C, EX4500-40F-FB-C, EX4500-LB",07/01/2013,12/31/2018
"EX4200-48P, EX4200-24P",01/02/2013,06/30/2018
"EX2500-24F-BF, EX2500-24F-FB",10/01/2012,11/30/2017
"EX4500-40F-FB, EX4500-40F-BF",12/01/2010,01/31/2016
"J2320, J2350, J4350, J6350, JX-4BRI, JX-4CT1E1, JX Software Licenses",02/05/2013,07/31/2018
Enhanced Physical Interface Modules (EPIMs),11/30/2009,05/31/2015
J2300,03/31/2008,09/30/2013
J4350 NEBS and J6350 NEBS,01/01/2008,06/30/2013
J4300 and J6300,10/31/2006,04/30/2012
"JATP400-2TB-HDD, JATP400-500W-AC, JATP400-650W-DC, JATP400-AC, JATP400-CHAS, JATP400-DC, JATP700-AC-COL, JATP700-AC-CORE, JATP700-DC-ALL, JATP700-DC-COL, JATP700-DC-CORE",06/30/2022,06/30/2027
"JATP700-AC-ALL, JSA5800-BSE, JSA5800-AC-PS, JSA3800-5800-HDD",10/30/2020,11/30/2025
JCS1200,09/03/2013,03/31/2019
"RE-JCS-1X2330-4096-S, RE-JCS-1X2330-4096WW-S",01/31/2010,11/30/2015
"RE-JCS-1X2330-16G-S, RE-JCS-1X2330-16GWW-S",06/30/2011,12/31/2016
RIM5001-A-BSE,01/31/2012,04/30/2017
"MIST-AP61E-AI-1Y, MIST-AP61E-AI-5Y, MIST-AP61E-2S-3Y, MIST-AP61E-1S-3Y, MIST-AP61E-3S-1Y, MIST-AP61E-1S-1Y, MIST-AP61E-AI-3Y, MIST-AP61E-3S-5Y, MIST-AP61E-4S-5Y, MIST-AP61E-4S-1Y, MIST-AP61E-4S-3Y, MIST-AP61E-3S-3Y, MIST-AP61E-2S-1Y, MIST-AP61E-2S-5Y, MIST-AP61E-1S-5Y, MIST-AP61E-WW, MIST-AP61E-US, MIST-AP61-WW, MIST-AP61-US, MIST-AP61-AI-5Y, MIST-AP61-AI-3Y, MIST-AP61-AI-1Y, MIST-AP61-4S-5Y, MIST-AP61-4S-3Y, MIST-AP61-4S-1Y, MIST-AP61-3S-5Y, MIST-AP61-3S-3Y, MIST-AP61-3S-1Y, MIST-AP61-2S-5Y, MIST-AP61-2S-3Y, MIST-AP61-2S-1Y, MIST-AP61-1S-5Y, MIST-AP61-1S-3Y, MIST-AP61-1S-1Y, MIST-AP41E-1S-3Y, MIST-AP41E-AI-1Y, MIST-AP41E-2S-3Y, MIST-AP41E-3S-1Y, MIST-AP41E-4S-5Y, MIST-AP41E-AI-3Y, MIST-AP41E-2S-1Y, MIST-AP41E-1S-1Y, MIST-AP41E-4S-1Y, MIST-AP41E-3S-5Y, MIST-AP41E-3S-3Y, MIST-AP41E-AI-5Y, MIST-AP41E-1S-5Y, MIST-AP41E-2S-5Y, MIST-AP41E-4S-3Y, MIST-AP41E-WW, MIST-AP41E-US, MIST-AP41-WW, MIST-AP41-US, MIST-AP41-AI-5Y, MIST-AP41-AI-3Y, MIST-AP41-AI-1Y, MIST-AP41-4S-5Y, MIST-AP41-4S-3Y, MIST-AP41-4S-1Y, MIST-AP41-3S-5Y, MIST-AP41-3S-3Y, MIST-AP41-3S-1Y, MIST-AP41-2S-5Y, MIST-AP41-2S-3Y, MIST-AP41-2S-1Y, MIST-AP41-1S-5Y, MIST-AP41-1S-3Y, MIST-AP41-1S-1Y, MIST-AP21-4S-5Y, MIST-AP21-4S-3Y, MIST-AP21-4S-1Y, MIST-AP21-3S-5Y, MIST-AP21-3S-3Y, MIST-AP21-3S-1Y, MIST-AP21-2S-5Y, MIST-AP21-2S-3Y, MIST-AP21-2S-1Y, MIST-AP21-1S-5Y, MIST-AP21-1S-3Y, MIST-AP21-1S-1Y, SP-01, AP61-WW, AP61-US, AP61-IL, AP61E-WW, AP61E-US, AP61E-IL, AP41-WW, AP41-US, AP41-IL, AP41E-WW, AP41E-US, AP41E-IL, AP21-WW, AP21-US",01/31/2023,03/31/2029
"AP41BR1, AP41BR1-CR, AP41BR1-RT, AP41BR2, AP41BR3, AP41BR4, APBRU, APBRWP1, APOUTBR-KIT, APOUTBR1, BT11BR1",01/21/2022,10/31/2022
"B-10K16-AFC-3, B-10K16-AFC-5, B-10K2-36Q-AFC-3, B-10K2-36Q-AFC-5, B-10K2-60C-AFC-3, B-10K2-60C-AFC-5, B-10K2-72Q-AFC-3, B-10K2-72Q-AFC-5, B-10K8-AFC-3, B-10K8-AFC-5, B-QFX5K-C1-AFC-A-3, B-QFX5K-C1-AFC-A-5, B-QFX5K-C2-AFC-A-3, B-QFX5K-C2-AFC-A-5, B-QFX5K-C3-AFC-A-3, B-QFX5K-C3-AFC-A-5",10/15/2022,N/A
"S-APSTRA-S-OEM-1, S-APSTRA-S-OEM-3, S-APSTRA-S-OEM-5",07/15/2021,07/15/2021
"S-JCWP-100CR-OP-3, S-JCWP-100CR-OP-1, S-JCWP-100CR-C-3, S-JCWP-100CR-C-1, S-JCWP-25U-OP-3, S-JCWP-25U-OP-1, S-JCWP-25U-C-3, S-JCWP-25U-C-1, S-JCWP-1U-OP-3, S-JCWP-1U-OP-1, S-JCWP-1U-C-3, S-JCWP-1U-C-1, S-JCWP-10U-OP-3, S-JCWP-10U-OP-1, S-JCWP-10U-C-3, S-JCWP-10U-C-1, S-JCWP-100U-OP-3, S-JCWP-100U-OP-1, S-JCWP-100U-C-3, S-JCWP-100U-C-1",11/30/2022,11/30/2022
JA2500-A-BSE,07/19/2021,03/31/2026
"CPP-SAMO-250, CPP-SAMO-100, CPP-BASE, CPP-API, CPP-40G, CPP-1G, CPP-10G, CPP-100G",11/15/2022,06/14/2023
"CSD-BASE, CSD-API, CSD-1G, CSD-10G, CSD-40G, CSD-100G, CSD-SYNC, CSD-PO",07/15/2021,08/30/2026
"JS-PLATFORM, JS-PLT-SING",12/15/2022,03/01/2025
"LN1000-CC, LN2600-DC48-8SFP",08/31/2016,12/31/2021
"LN1000-2, LN1000-4, JX-SFP-1GE-LN",11/01/2015,05/01/2021
LN1000-V,07/10/2015,05/10/2019
"MIC-3D-20GE-SFP-E, MIC-3D-16CHE1-T1-CE, MIC-3D-1OC192-XFP, MIC-3D-2XGE-XFP, MIC-3D-40GE-TX, MIC-3D-8OC3OC12-4OC48, MS-MIC-16G, MS-MIC-16G-SX",07/17/2023,01/17/2029
"MX150-TAA, MX150-R-TAA, MX150-R, MX150-IR-TAA, MX150-IR, MX150",12/31/2022,06/30/2028
"MS-MPC-128G, MS-MPC-128G-BB, MS-MPC-128G-R, MS-MPC-128G-SX, SCG-TM-BAS",04/15/2023,12/31/2028
"MPC5Q-40G10GQSFP-B, MPC5EQ-40G10GRRTUB, MPC5E-100G10GRRTUB, S-MPC5E-R-80G-RTU, S-MPC5E-OPT-LIC,  S-MPC5E-ADV-R, S-MACSEC-MPC7E-10G, MPC5Q-40G10GSFPP-B, MPC5Q-40G10G-OPT-B, MPC5Q-100G10G-OP-B, MPC5EQ-40G10G-IRB, MPC5EQ40-CGRTU-B, MPC5EQ40-CGRTU2, MPC5EQ-100G10G-IRB, MPC5EQ100-FGRTU12, MPC5EQ100-CGRTU-B, MPC5E-40G10G-RRTUB, MPC5E-40G10G-RB, MPC5E-40G10G-IRB, MPC5E-100G10G-RB, MPC5E-100G10G-IRB",01/15/2023,N/A
